Type,Name,Description,Value
Managed - Installed,Header_Section_Related_Groups,Related Groups section header in the visualization component,Related Groups
Managed - Installed,Header_Wizard_New_Client,Enter client information header in the new client setup dialog.,Enter Your Client's Information
Managed - Installed,Header_Wizard_New_Client_Group,Enter group information header in the new client setup dialog.,Enter Your Client's Group Information
Managed - Installed,Label_Account_Field_Set,Name of the field set to display summary fields from account.,Field Set for Account
Managed - Installed,Label_Account_Field_Set_Description,Description for Account Field Set.,Name of the field set to display summary fields from account.
Managed - Installed,Label_Action_Dropdown_ListView_Table,Assistive text for action dropdown to allow edits and deletes in List View Table,Actions
Managed - Installed,Label_All_Options_Selected,Indicates all options selected,All Options Selected
Managed - Installed,Label_All_Users_Submit,Bypasses CRUD and Field Level Security checks on the Lead object.,Let All Users Submit Form
Managed - Installed,Label_All_Users_Submit_Description,Description for All Users Submit Form.,Bypasses CRUD and Field Level Security checks on the Lead object.
Managed - Installed,Label_Client_Name_Assets_Liabilities,Custom label for client name in Assets and Liabilities section of Financials tab,Client Name
Managed - Installed,Label_Client_Name_Bank_Accounts,Custom label for client name in Bank Accounts section of Financials tab,Client Name
Managed - Installed,Label_Client_Name_Insurance_Policies,Custom label for client name in Insurance Policies section of Financials tab,Client Name
Managed - Installed,Label_Client_Name_Investment_Accounts,Custom label for client name in Investment Accounts section of Financials tab,Client Name
Managed - Installed,Label_Client_Permanent_Address,Custom label for permanent address section on client profile,Permanent Address
Managed - Installed,Label_Client_Permanent_City,Custom label for permanent address city field on client profile,Permanent City
Managed - Installed,Label_Client_Permanent_Country,Custom label for permanent address country field on client profile,Permanent Country
Managed - Installed,Label_Client_Permanent_Postal_Code,Custom label for permanent address postal code field on client profile,Permanent Zip/Postal Code
Managed - Installed,Label_Client_Permanent_State,Custom label for permanent address state field on client profile,Permanent State/Province
Managed - Installed,Label_Client_Permanent_Street,Custom label for permanent address street field on client profile,Permanent Street
Managed - Installed,Label_Client_Primary_Address_Permanent,Custom label for primary address field (permanent address) on client profile,Primary Address (Permanent)
Managed - Installed,Label_Client_Primary_Address_Seasonal,Custom label for primary address field (seasonal address) on client profile,Primary Address (Seasonal)
Managed - Installed,Label_Client_Referral_Summary_All_Time,Custom label for all time field on Referrals tab.,All Time
Managed - Installed,Label_Client_Referral_Summary_Average_Conversion_Rate,Custom label for average conversion rate of referrers on Referrals tab.,Average Conversion Rate of Referrers
Managed - Installed,Label_Client_Referral_Summary_Converted,Custom label for converted referrals field on Referrals tab.,Referrals Converted
Managed - Installed,Label_Client_Referral_Summary_Made,Custom label for referrals made,Referrals Made
Managed - Installed,Label_Client_Referral_Summary_Membership,Custom label for average membership of converted referrals on Referrals tab.,Average Membership of Converted Referrals
Managed - Installed,Label_Client_Referral_Summary_MTD,Custom label for MTD field on Referrals tab.,MTD
Managed - Installed,Label_Client_Referral_Summary_QTD,Custom label for YTD field on Referrals tab.,QTD
Managed - Installed,Label_Client_Referral_Summary_Received,Custom label for received referrals field on Referrals tab.,Referrals Received
Managed - Installed,Label_Client_Referral_Summary_Referrals,Custom label for referrals from client field on Referrals tab.,Referrals
Managed - Installed,Label_Client_Referral_Summary_Rejected,Custom label for rejected referrals field on Referrals tab.,Referrals Rejected
Managed - Installed,Label_Client_Referral_Summary_Revenue,Custom label for revenue from referrals field on Referrals tab.,Revenue Generated
Managed - Installed,Label_Client_Referral_Summary_Score,Custom label for referrer score field on Referrals tab.,Referrer Score
Managed - Installed,Label_Client_Referral_Summary_Title,Summary of referrals made by a banker; includes Referrer Score in some views.,Referrer Summary
Managed - Installed,Label_Client_Referral_Summary_YTD,Custom label to be displayed for owner's name field.,YTD
Managed - Installed,Label_Client_Related_Contact_Name,Custom label for contact name in Related Accounts section of Relationships tab,Related Contact
Managed - Installed,Label_Client_Related_Contact_Role,Custom label for contact's role in Related Contacts section of Relationships tab,Role
Managed - Installed,Label_Client_Seasonal_Address,Custom label for seasonal address section on client profile,Seasonal Address
Managed - Installed,Label_Client_Seasonal_City,Custom label for seasonal address city field on client profile,Seasonal City
Managed - Installed,Label_Client_Seasonal_Country,Custom label for seasonal address country field on client profile,Seasonal Country
Managed - Installed,Label_Client_Seasonal_Postal_Code,Custom label for seasonal address postal code field on client profile,Seasonal Zip/Postal Code
Managed - Installed,Label_Client_Seasonal_State,Custom label for seasonal address state field on client profile,Seasonal State/Province
Managed - Installed,Label_Client_Seasonal_Street,Custom label for seasonal address street field on client profile,Seasonal Street
Managed - Installed,Label_Collapse_Arrow_Assistive,Assistive text when collapsing the expandArrowIcon.,Collapse row
Managed - Installed,Label_Dialog_Client_Create_Field_Household,Custom label for household field when creating a client,Household
Managed - Installed,Label_Dialog_Client_Create_Field_Primary_Member,Custom label for primary member field when creating a client,Primary Member
Managed - Installed,Label_Dialog_Client_Create_Field_RollUp_Summary,Custom label for roll-up summary field when creating a client,Include in Household Roll-Up Summary
Managed - Installed,Label_Display_View_All_Link,Label for Display View All Link,Display View All Link
Managed - Installed,Label_Expand_Arrow_Assistive,Assistive text when expanding the expandArrowIcon.,Expand row
Managed - Installed,Label_Field_Set,Name of the field set used to render this component.,Fieldset
Managed - Installed,Label_Field_Set_Addresses,Custom label for Addresses field set on client profile,Addresses
Managed - Installed,Label_Field_Set_Client_Header,Custom label for field set on client profile's page header,Client Header
Managed - Installed,Label_Field_Set_Client_Info,Custom label for Client Information field set on client profile,Client Information
Managed - Installed,Label_Field_Set_Client_Services,Custom label for Client Services field set on client and household profiles,Client Services
Managed - Installed,Label_Field_Set_Description,Description of field set name,Name of the field set used to render this component.
Managed - Installed,Label_Field_Set_Employment_Info,Custom label for Employment Information field set on client profile,Employment Information
Managed - Installed,Label_Field_Set_Financial_Accounts_Summary,Custom label for field set on client and household profiles' Financials tabs,Financial Accounts Summary
Managed - Installed,Label_Field_Set_Financial_Summary,Custom label for Financial Summary field set on client and household profiles,Financial Summary
Managed - Installed,Label_Field_Set_Group_Members,Name of the field set for group members.,Field Set for Group Members
Managed - Installed,Label_Field_Set_Household_Header,Custom label for field set on household profile's page header,Household Header
Managed - Installed,Label_Field_Set_Household_Info,Custom label for field set on household profile's Details tab,Household Information
Managed - Installed,Label_Field_Set_Household_Info_Create_Client,Custom label for Household Information field set when creating a client,Household Information
Managed - Installed,Label_Field_Set_Household_Info_Create_Household_Member,Custom label for Household Information field set when adding a household member,Household Information
Managed - Installed,Label_Field_Set_Household_Info_Edit_Membership,Custom label for Household Information field set when editing a household member,Household Information
Managed - Installed,Label_Field_Set_Household_Summary,Custom label for field set on client and household profiles' Relationships tabs,Household Summary
Managed - Installed,Label_Field_Set_Know_Your_Client,Custom label for Know Your Client field set on client and household profiles,Know Your Client
Managed - Installed,Label_Field_Set_Mailing_Address,Custom label for Mailing Address field set when adding or editing a client,Mailing Address
Managed - Installed,Label_Field_Set_Member_Info_Create_Household_Member,Custom label for Member Information field set when adding a household member,Member Information
Managed - Installed,Label_Field_Set_Other_Address,Custom label for Other Address field set when adding or editing a client,Other Address
Managed - Installed,Label_Field_Set_Permanent_Address,Custom label for Permanent Address field set when adding or editing a client,Permanent Address
Managed - Installed,Label_Field_Set_Phone_and_Email,Custom label for Phone and Email field set on client profile,Phone and Email
Managed - Installed,Label_Field_Set_Referrals_Expressed_Interest,List of referrals' expressed interest.,Expressed Interests
Managed - Installed,Label_Field_Set_Referrals_Made,Related list of referrals made by an individual.,Referrals Made
Managed - Installed,Label_Field_Set_Referral_Form,Form for creating a referral.,New Referral
Managed - Installed,Label_Field_Set_Relationship_Groups,Custom label for relationship groups field set on client profile,Relationship Groups
Managed - Installed,Label_Field_Set_Seasonal_Address,Custom label for Seasonal Address field set on client profile,Seasonal Address
Managed - Installed,Label_Field_Set_System_Info,Custom label for System Information field set on client profile,System Information
Managed - Installed,Label_Financial_Account_Field_Set,Name of the field set to display financial account details.,Field Set for Financial Account
Managed - Installed,Label_Financial_Account_Field_Set_Description,Description for Financial Account Field Set.,Name of the field set to display financial account details.
Managed - Installed,Label_Financial_Account_Record_Types,Comma separated list of financial account record types to display.,Financial Account Record Types
Managed - Installed,Label_Financial_Account_Record_Types_Description,Description for Financial Account Record Types.,Comma separated list of financial account record types to display.
Managed - Installed,Label_Financial_Account_Roles,Comma separated list of financial account roles to display.,Financial Account Roles
Managed - Installed,Label_Financial_Account_Roles_Description,Description for Financial Account Roles.,Comma separated list of financial account roles to display.
Managed - Installed,Label_Financial_Account_Role_Field_Set,Name of the field set to display financial account role details.,Field Set for Financial Account Role
Managed - Installed,Label_Financial_Account_Role_Field_Set_Description,Description for Financial Account Role Field Set.,Name of the field set to display financial account role details.
Managed - Installed,Label_Financial_Holding_Field_Set,Name of the field set to display financial holding details.,Field Set for Financial Holding
Managed - Installed,Label_Financial_Holding_Field_Set_Description,Description for Financial Holding Field Set.,Name of the field set to display financial holding details.
Managed - Installed,Label_First_Step_Description,Show contact details first,Display contact details as the first step of the wizard.
Managed - Installed,Label_Goal_Detail_Description,Description of the client goal progress doughnut chart for screen readers.,The client has achieved {0} percent of their goal.
Managed - Installed,Label_Groups_Members_Details,Custom label for group members and details component on Relationships tab,Group Members and Details
Managed - Installed,Label_Group_Account_Name,Custom label for account name column on relationship group setup dialog,Account Name
Managed - Installed,Label_Group_Activities_Objects_Rollup,Custom label for activities & objects to roll up on relationship group setup,Activities & Objects to Roll Up
Managed - Installed,Label_Group_Add_To_Group,Custom label for add to group column on relationship group setup dialog,Add to Group
Managed - Installed,Label_Group_Contact_Name,Custom label for contact name column on relationship group setup dialog,Contact Name
Managed - Installed,Label_Group_Member_Name,Custom label for member name column on relationship group setup dialog,Member Name
Managed - Installed,Label_Group_Member_Role,Custom label for member role column on relationship group setup dialog,Member Role
Managed - Installed,Label_Group_Primary_Group,Custom label for primary group column on relationship group setup dialog,Primary Group
Managed - Installed,Label_Group_Primary_Member,Custom label for primary member column on relationship group setup dialog,Primary Member
Managed - Installed,Label_Group_Related_Member,Custom label for related member column on relationship group setup dialog,Related Member
Managed - Installed,Label_Group_Related_Role,Custom label for related role column on relationship group setup dialog,Related Role
Managed - Installed,Label_Group_Role_In_Group,Custom label for role in group column on relationship group setup dialog,Role in Group
Managed - Installed,Label_Group_Setup_Accounts,The second section header in the group setup dialog,Do the Members Have Relationships with Other Accounts?
Managed - Installed,Label_Group_Setup_Contacts,The third section header in the group setup dialog,Do the Members Have Relationships with Other People?
Managed - Installed,Label_Group_Setup_Members,The first section header in the group setup dialog,Who Are the Members of This Group?
Managed - Installed,Label_Household_Goal_Primary_Owner,Custom label for primary owner field on Goals tab of household profile,Primary Owner
Managed - Installed,Label_Household_Membership_Edit_Field_Household,Custom label for household field when editing a household member,Household
Managed - Installed,Label_Household_Member_Age,Field for household member's age on Relationships tab,Age
Managed - Installed,Label_Household_Member_Email,Field for household member's email on Relationships tab,Email
Managed - Installed,Label_Household_Member_Field_Household,Custom label for household field when adding a household member,Existing Household
Managed - Installed,Label_Household_Member_Field_Name,Custom label for member's name field when adding or editing a household member,Name
Managed - Installed,Label_Household_Member_Field_Primary_Member,Custom label for primary member field when adding or editing a household member,Primary Member
Managed - Installed,Label_Household_Member_Field_RollUp_Summary,Custom label for roll-up summary field when adding or editing a household member,Include in Household Roll-Up Summary
Managed - Installed,Label_Household_Member_Last_Interaction,Field for household member's last interaction on Relationships tab,Last Interaction
Managed - Installed,Label_Household_Member_Mobile,Field for household member's mobile number on Relationships tab,Mobile
Managed - Installed,Label_Household_Member_Next_Interaction,Field for household member's next interaction on Relationships tab,Next Interaction
Managed - Installed,Label_Household_Member_Phone,Field for household member's phone number on Relationships tab,Phone
Managed - Installed,Label_Household_Member_Roles,Field for household member's roles on Relationships tab,Roles
Managed - Installed,Label_Household_Related_Account_Name,Custom label for account name in Related Accounts section of Relationships tab,Related Account
Managed - Installed,Label_Household_Related_Account_Role,Custom label for account's role in Related Contacts section of Relationships tab,Role
Managed - Installed,Label_Household_Related_Contact_Name,Custom label for contact name in Related Contacts section of Relationships tab,Related Contact
Managed - Installed,Label_Household_Related_Contact_Related_To,Custom label for related member in Related Contacts section of Relationships tab,Related to
Managed - Installed,Label_Household_Related_Contact_Role,Custom label for contact's role in Related Contacts section of Relationships tab,Role
Managed - Installed,Label_Icon_Style,Component icon name.,Icon Style
Managed - Installed,Label_Icon_Style_Description,Descriptiom for Icon Style,Component icon name.
Managed - Installed,Label_Invalid_Individual,Denotes that the individual is constructed improperly,Some data isn't ready yet. Check back soon.
Managed - Installed,Label_Leads,Plural label for leads object.,Leads
Managed - Installed,Label_Lead_Field_Set,Fieldset name for lead,Lead Field Set Name for Create Referral Form
Managed - Installed,Label_Link_Pagination_First,Custom label for navigating to first page of list view items,First
Managed - Installed,Label_Link_Pagination_Last,Custom label for navigating to last page of list view items,Last
Managed - Installed,Label_Link_Pagination_Next,Custom label for navigating to next page of list view items,Next
Managed - Installed,Label_Link_Pagination_Previous,Custom label for navigating to previous page of list view items,Previous
Managed - Installed,Label_Loading_Alternative_Text,Custom label for loading alternative text,Loading
Managed - Installed,Label_Member_Activity_Counts,Custom label for a group member's activity count on the Relationships tab,{0} {1}
Managed - Installed,Label_Member_Fields,Custom label for member fields on the Relationships tab,{0}:
Managed - Installed,Label_MenuButton_Select_Period,Alternative text of the dropdown menu button to select a period.,Select Period
Managed - Installed,Label_New_Client,Custom label for New Client,New Client
Managed - Installed,Label_New_Client_Create_Household_Member,Custom label for New Client option when adding a household member,New Client
Managed - Installed,Label_New_Household_Create_Client,Custom label for New Household option when creating a client,New Household
Managed - Installed,Label_New_Household_Create_Household_Member,Custom label for New Household option when adding a household member,New Household
Managed - Installed,Label_New_Household_Edit_Household_Member,Custom label for New Household option when editing a household member,New Household
Managed - Installed,Label_Not_Applicable,Text for not applicable,[not applicable]
Managed - Installed,Label_Number_Records,Number of records to show in the component.,Number of Records
Managed - Installed,Label_Of_My_Top_Referrers_Dashboard,"Assistive text after ""View more"" link for ""My Top Referrers Dashboard""",My Top Referrers Dashboard
Managed - Installed,Label_Open_Referrals_Im_Assigned,"Assistive text for ""View All"" link for ""Open Referrals I'm Assigned"" list view.",Open Referrals I'm Assigned
Managed - Installed,Label_Opportunities,Plural label for opportunities object.,Opportunities
Managed - Installed,Label_Options_Selected,Indicates number of options selected,{0} Options Selected
Managed - Installed,Label_Panel_Group_New,Custom label for selecting a record type on new relationship group panel.,Select a record type
Managed - Installed,Label_Read_Only,Don't allow referrals to be edited.,Read Only
Managed - Installed,Label_Read_Only_Description,Description for Read Only field.,Don't allow referrals to be edited.
Managed - Installed,Label_Referrals,Referrals,Referrals
Managed - Installed,Label_Referrals_Converted,Label for Referrals Converted,Referrals Converted
Managed - Installed,Label_Referrals_Converted_Household_Average,Average referrals converted per household.,"Referrals Converted, Average per Household"
Managed - Installed,Label_Referrals_I_Am_Assigned,"As a Banker, Summary of referrals assigned to a user.",Referrals Assigned to Me
Managed - Installed,Label_Referrals_Received,Label for Referrals Received,Referrals Received
Managed - Installed,Label_Referrals_Rejected,Label for Referrals Rejected,Referrals Rejected
Managed - Installed,Label_Referral_Field_Set,Name of the field set to display referral details.,Field Set for Referral
Managed - Installed,Label_Referral_Field_Set_Description,Description for Referral Field Set.,Name of the field set to display referral details.
Managed - Installed,Label_Referral_Performance_Chart,Label for Chart listing referrals made by an individual.,Referral Performance
Managed - Installed,Label_Referral_Performance_Chart_Empty,Label for referral performance chart empty state.,"Add a referral, then come back here to view the performance of referrals you've created."
Managed - Installed,Label_Referral_Record_Type,The record type of the referral created.,Referral Record Type
Managed - Installed,Label_Referral_Record_Type_Description,Description for the record type picklist on the Create Referral form.,The record type of the referral created.
Managed - Installed,Label_Referrers_Summary_Converted,Label for Converted in referrer summary,Converted
Managed - Installed,Label_Referrers_Summary_Converted_Amount,Referrals Converted in certain period.,{0} Referrals Converted
Managed - Installed,Label_Referrers_Summary_Made,Label for Made in referrer summary,Made
Managed - Installed,Label_Referrers_Summary_Made_Amount,Referrals Made in certain period.,{0} Referrals Made
Managed - Installed,Label_Referrers_Summary_Open,Label for Open in referrer summary,Open
Managed - Installed,Label_Referrers_Summary_Rejected,Label for Rejected in referrer summary,Rejected
Managed - Installed,Label_Referrers_Summary_Revenue,Label for Revenue in referrer summary,Revenue
Managed - Installed,Label_Referrers_Summary_Revenue_Amount,Revenues generated within certain period.,{0} Revenue Generated
Managed - Installed,Label_Referrer_Average_Conversion_Rate,Average referrals converted.,Referrer Average Conversion Rate
Managed - Installed,Label_Referrer_Score,The referrer score.,Referrer Score
Managed - Installed,Label_Revenue_Generated,Label for Revenue Generated,Revenue Generated
Managed - Installed,Label_RMD_Days_Away,Custom label for number of days away from RMD in the RMD component,Days Away: {0}
Managed - Installed,Label_RMD_Month,Month Label for RMD Card,{0} month(s)
Managed - Installed,Label_RMD_Year,Year Label for RMD Card,{0} years
Managed - Installed,Label_Selected_Summary_Period_View,Label for displaying selected period view,{0} View
Managed - Installed,Label_Selected_Summary_Sorted_By,Label for Displaying different Sorting selection Views,Sorted By {0}
Managed - Installed,Label_Select_Period_All_Time,Custom label for All Time field on drop down menu of the card.,All-Time
Managed - Installed,Label_Select_Period_MTD,Custom label for MTD field on drop down menu of the card.,Month-To-Date
Managed - Installed,Label_Select_Period_QTD,Custom label for QTD field on drop down menu of the card.,Quarter-To-Date
Managed - Installed,Label_Select_Period_YTD,Custom label for YTD field on drop down menu of the card.,Year-To-Date
Managed - Installed,Label_ShowHide_Members_ListView_Table,Assistive text for Show/Hide members in List View Table,Show/Hide members
Managed - Installed,Label_Show_Contact_Details,Show contact details first,Show Contact Details First
Managed - Installed,Label_Show_Contact_Section,Show contact section first,Show Contact Section First
Managed - Installed,Label_Show_Related_Accounts,Show Related Accounts checkbox on Relationship Map component,Show Related Accounts
Managed - Installed,Label_Show_Related_Accounts_Description,Description for Show Related Accounts checkbox on Relationship Map component,Displays Related Accounts on the Relationship Map and Group Builder
Managed - Installed,Label_Show_Related_Contacts,Show Related Contacts checkbox on Relationship Map component,Show Related Contacts
Managed - Installed,Label_Show_Related_Contacts_Description,Description for Show Related Contacts checkbox on Relationship Map component,Displays Related Contacts on the Relationship Map and Group Builder
Managed - Installed,Label_Sort_Criteria,Criteria for sorting referrers.,Sort Criteria
Managed - Installed,Label_Sort_Criteria_Description,Description for Sort Criteria,Choose a criteria for sorting referrers.
Managed - Installed,Label_Star_Rating,Describes the rating from hot to cold,This rating is {0}
Managed - Installed,Label_Summary,"Label for the word ""Summary"" in Referrals Assigned to me - Summary component.",Summary
Managed - Installed,Label_Tasks,Plural label for tasks object.,Tasks
Managed - Installed,Label_Text_List_View_Items_Count_Separator,Custom label for symbol displayed with count of list view items on current page,-0
Managed - Installed,Label_Text_List_View_Items_Count_Total,"Custom label for ""of"" preceding count of total list view items",of
Managed - Installed,Label_Timeline,The default timeline for the chart.,Timeline
Managed - Installed,Label_Timeline_Description,Description for default timeline in referral made chart.,The default timeline for the chart.
Managed - Installed,Label_Title,An alternative title to display as the component header.,Title
Managed - Installed,Label_Title_Description,An alternative title description to display as the component header.,"An alternative title, to display as the component header."
Managed - Installed,Label_Tooltip_Visibility,Boolean for showing or hiding tooltip.,Show/Hide Tooltip
Managed - Installed,Label_Top_Expressed_Interest,"As a Banker, Most of my Referrals Expressed Interest.",Top Expressed Interest
Managed - Installed,Label_Top_Referrer,The User that most of my Referrals Are coming from,Top Referrer
Managed - Installed,Label_Top_Referrers_Summary_External,External Referrers that have brought business to us.,External Referrers
Managed - Installed,Label_Top_Referrers_Summary_Internal,Internal Referrers (Employees) that have brought business to us.,Internal Referrers
Managed - Installed,Label_Top_Referrers_Summary_Title,"As a Banker, Ranked list of (Top) individuals who've made referrals to a banker.",My Top Referrers
Managed - Installed,Label_Top_Referrer_Type,The User Type that most of my Referrals Are coming from,Top Referrer Type
Managed - Installed,Label_Upcoming_Birthdays_Next_7_Days,"Assistive text after ""View All"" link for ""Upcoming Birthdays"" list view.",Birthdays in the next 7 days
Managed - Installed,Label_Upcoming_RMDs_Next_7_Days,"Assistive text for ""View All"" link for ""Upcoming RMDs (Next 7 Days)"" list view.",Upcoming Required Minimum Distributions in the next 7 days
Managed - Installed,Label_View_More_Link_Visibility,Boolean for showing or hiding View More.,Show/Hide View More Link
Managed - Installed,Label_Visualization_Primary_Group,Custom label for primary group label used in the Visualization component,Primary Group
Managed - Installed,Label_Visualization_Primary_Member,Custom label for primary member label used in the Visualization component,Primary Member
Managed - Installed,Link_Calls,Calls link on Relationships tab of client and household profiles,Calls
Managed - Installed,Link_Emails,Emails link on Relationships tab of client and household profiles,Emails
Managed - Installed,Link_Events,Events link on Relationships tab of client and household profiles,Events
Managed - Installed,Link_Tasks,Tasks link on Relationships tab of client and household profiles,Tasks
Managed - Installed,Link_View_All,View All link,View All
Managed - Installed,Link_View_More,View more link,View more
Managed - Installed,Menu_Item_Group_ ,Edit Group,Edit Group
Managed - Installed,Menu_Item_Household_Membership_Delete,Menu item in Household Members section of client and household profiles,Delete Relationship
Managed - Installed,Menu_Item_Household_Membership_ ,Menu item in Household Members section of client and household profiles,Edit Relationship
Managed - Installed,Menu_Item_Household_Membership_Remove,Menu item in Household Members section of client and household profiles,Remove Member
Managed - Installed,Menu_Item_Relationship_Remove,Menu item for Relationships tab of client and relationship group profiles,Remove Relationship
Managed - Installed,Msg_Action_Variable_Create,"""Create"" action verb used in system messages",Create
Managed - Installed,Msg_Action_Variable_Delete,"""Delete"" action verb used in system messages",Delete
Managed - Installed,Msg_Action_Variable_Read,"""Read"" action verb used in system messages",Read
Managed - Installed,Msg_Action_Variable_Update,"""Update"" action verb used in system messages",Update
Managed - Installed,Msg_Cannot_Complete_Actions,Error message when a user accesses a field without the appropriate permission,"To complete this action, ask your Salesforce admin to give you access to the required fields:"
Managed - Installed,Msg_Community_User_Greeting,User greeting for a community user.,Aloha
Managed - Installed,Msg_Component_Has_NoAccess,Error message when user has no access to the UI component,"To access this component, ask your Salesforce admin for the required Financial Services Cloud permission set license."
Managed - Installed,Msg_Component_ObjectAccess_Invalid,Error message when user has no access to the object used in the component,You donâ€™t have access to this functionality.
Managed - Installed,Msg_Confirm_Remove,Message when alert is being removed.,Are you sure you want to remove this?
Managed - Installed,Msg_Error_ACR_Account_Invalid,Error message when a person is entered as the account in an ACR.,Can't choose a person as the account in this relationship.
